48.27,48.27,48.27,24.67,24.67,24.67,24.67,24.67,24.67
51.82,51.82,26.09,26.09,26.09,26.09,26.09,22.54,22.54
53.95,25.91,25.91,25.91,25.91,25.91,25.91,19.70,19.70
51.47,51.47,25.20,25.20,25.20,25.20,25.20,25.20,25.20
40.64,40.64,40.64,21.30,21.30,21.30,21.30,21.30,17.04
58.92,58.92,58.92,21.12,21.12,21.12,21.12,21.12,21.12
53.24,53.24,20.05,20.05,20.05,20.05,20.05,18.63,18.63
55.90,55.90,55.90,23.78,23.78,23.78,23.78,23.78,23.78
41.70,29.99,29.99,29.99,29.99,29.99,21.65,21.65,21.65
56.08,56.08,56.08,22.54,22.54,22.54,22.54,22.54,22.01
31.23,19.17,19.17,19.17,19.17,19.17,18.99,18.99,18.99
55.90,55.90,55.90,55.90,55.90,55.90,55.90,55.90,20.41
25.73,25.73,25.73,25.73,25.73,25.73,19.34,19.34,19.34
52.53,52.53,52.53,23.43,23.43,23.43,23.43,23.43,20.41
33.19,21.83,21.83,21.83,21.83,21.83,21.83,21.83,21.83
28.57,28.57,28.57,28.57,20.23,20.23,20.23,20.23,20.23
28.22,28.22,28.22,28.22,28.22,20.41,20.41,20.41,20.41
52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,19.88
34.61,27.86,27.86,27.86,27.86,27.86,21.83,21.83,21.83
28.39,28.39,28.39,28.39,28.39,22.89,22.89,22.89,22.89
25.56,25.56,25.56,25.56,26.44,26.44,26.44,26.44,26.44
56.97,56.97,56.97,56.97,56.97,56.97,22.18,22.18,22.18
56.26,56.26,22.18,22.18,22.18,22.18,22.18,21.12,21.12
34.07,34.07,34.07,34.07,34.07,23.60,23.60,23.60,23.60
53.95,53.95,53.95,53.95,53.95,53.95,53.95,19.34,19.34
